[09:42:00] [udemy-downloader] [pre_run:406] INFO: Output directory set to F:\Cursor\Advance-Udemy-Downloader\out_dir
[09:42:01] [udemy-downloader] [__init__:463] INFO: Found cookie.txt, attempting to use for authentication...
[09:42:01] [udemy-downloader] [main:2161] INFO: > Fetching course information, this may take a minute...
[09:42:07] [udemy-downloader] [main:2164] INFO: > Course information retrieved!
[09:42:07] [udemy-downloader] [main:2169] INFO: > Fetching course curriculum, this may take a minute...
[09:42:29] [udemy-downloader] [_extract_course_curriculum:947] INFO: > Downloading course curriculum.. (Page 2/3)
[09:42:30] [udemy-downloader] [main:2185] INFO: > Course curriculum retrieved!
[09:42:30] [udemy-downloader] [main:2212] INFO: > Processing course data, this may take a minute. 
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 2 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 3 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 4 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 5 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 6 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 7 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 8 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 9 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 10 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 11 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 12 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 13 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 14 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 15 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 16 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 17 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 18 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 19 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 20 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 21 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 22 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 23 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 24 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 25 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 26 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 27 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 28 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 29 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 30 of 216
[09:42:30] [udemy-downloader] [main:2256] INFO: Processing 31 of 216
